{'currentEncoder': 2658, 'motor': 3, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 2663, 'hall': '1111'}
{'currentEncoder': 2666, 'motor': 3, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 2674, 'hall': '1111'}
{'currentEncoder': 2679, 'motor': 3, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 2685, 'hall': '1111'}
{'currentEncoder': 2691, 'motor': 3, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 2704, 'hall': '1111'}
{'currentEncoder': 2710, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 2720, 'hall': '1111'}
{'currentEncoder': 2726, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 2741, 'hall': '1111'}
{'currentEncoder': 2749, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 2758, 'hall': '1111'}
{'currentEncoder': 2767, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 2782, 'hall': '1111'}
{'currentEncoder': 2790, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 2800, 'hall': '1111'}
{'currentEncoder': 2808, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 2823, 'hall': '1111'}
{'currentEncoder': 2831, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 2840, 'hall': '1111'}
{'currentEncoder': 2849, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 2859, 'hall': '1111'}
{'currentEncoder': 2865, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 2880, 'hall': '1111'}
{'currentEncoder': 2886, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 2895, 'hall': '1111'}
{'currentEncoder': 2904, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 2918, 'hall': '1111'}
{'currentEncoder': 2925, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 2934, 'hall': '1111'}
{'currentEncoder': 2941, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 2950, 'hall': '1111'}
{'currentEncoder': 2957, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 2967, 'hall': '1111'}
{'currentEncoder': 2973, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 2989, 'hall': '1111'}
{'currentEncoder': 2996, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3005, 'hall': '1111'}
{'currentEncoder': 3014, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3024, 'hall': '1111'}
{'currentEncoder': 3030, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3044, 'hall': '1111'}
{'currentEncoder': 3051, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3060, 'hall': '1111'}
{'currentEncoder': 3069, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3083, 'hall': '1111'}
{'currentEncoder': 3090, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3099, 'hall': '1111'}
{'currentEncoder': 3106, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3116, 'hall': '1111'}
{'currentEncoder': 3125, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3137, 'hall': '1111'}
{'currentEncoder': 3145, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3157, 'hall': '1111'}
{'currentEncoder': 3163, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3173, 'hall': '1111'}
{'currentEncoder': 3182, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3198, 'hall': '1111'}
{'currentEncoder': 3204, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3214, 'hall': '1111'}
{'currentEncoder': 3223, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3232, 'hall': '1111'}
{'currentEncoder': 3239, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3249, 'hall': '1111'}
{'currentEncoder': 3257, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3266, 'hall': '1111'}
{'currentEncoder': 3273, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3283, 'hall': '1111'}
{'currentEncoder': 3291, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3301, 'hall': '1111'}
{'currentEncoder': 3307, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3319, 'hall': '1111'}
{'currentEncoder': 3326, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3335, 'hall': '1111'}
{'currentEncoder': 3342, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3352, 'hall': '1111'}
{'currentEncoder': 3358, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3368, 'hall': '1111'}
{'currentEncoder': 3377, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3388, 'hall': '1111'}
{'currentEncoder': 3395, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3407, 'hall': '1111'}
{'currentEncoder': 3413, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3423, 'hall': '1111'}
{'currentEncoder': 3431, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3448, 'hall': '1111'}
{'currentEncoder': 3454, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3464, 'hall': '1111'}
{'currentEncoder': 3470, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3480, 'hall': '1111'}
{'currentEncoder': 3487, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3497, 'hall': '1111'}
{'currentEncoder': 3507, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3519, 'hall': '1111'}
{'currentEncoder': 3525, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3535, 'hall': '1111'}
{'currentEncoder': 3544, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3560, 'hall': '1111'}
{'currentEncoder': 3566, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3576, 'hall': '1111'}
{'currentEncoder': 3583, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3592, 'hall': '1111'}
{'currentEncoder': 3599, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3612, 'hall': '1111'}
{'currentEncoder': 3619, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3629, 'hall': '1111'}
{'currentEncoder': 3635, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3645, 'hall': '1111'}
{'currentEncoder': 3651, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3661, 'hall': '1111'}
{'currentEncoder': 3668, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3681, 'hall': '1111'}
{'currentEncoder': 3688, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3700, 'hall': '1111'}
{'currentEncoder': 3706, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3716, 'hall': '1111'}
{'currentEncoder': 3722, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3732, 'hall': '1111'}
{'currentEncoder': 3741, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3757, 'hall': '1111'}
{'currentEncoder': 3763, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3773, 'hall': '1111'}
{'currentEncoder': 3782, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3791, 'hall': '1111'}
{'currentEncoder': 3798, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3814, 'hall': '1111'}
{'currentEncoder': 3820, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3830, 'hall': '1111'}
{'currentEncoder': 3836, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3846, 'hall': '1111'}
{'currentEncoder': 3855, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3871, 'hall': '1111'}
{'currentEncoder': 3877, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3887, 'hall': '1111'}
{'currentEncoder': 3893, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3903, 'hall': '1111'}
{'currentEncoder': 3912, 'motor': 5, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3927, 'hall': '0111'}
{'currentEncoder': 3933, 'motor': 5, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3939, 'hall': '0111'}
{'currentEncoder': 3947, 'motor': 5, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3956, 'hall': '0111'}
{'currentEncoder': 3961, 'motor': 5, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3965, 'hall': '1111'}
{'currentEncoder': 3970, 'motor': 5, 'power': 1, 'position': 2, 'desiredStep': 3975, 'id': 0, 'currentStep': 3975, 'hall': '1111'}
19700101T163110, {'currentEncoder': 3967, 'motor': 3, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3962, 'hall': '1111'}
19700101T163110, {'currentEncoder': 3958, 'motor': 3, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3952, 'hall': '1111'}
19700101T163110, {'currentEncoder': 3948, 'motor': 3, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3938, 'hall': '0111'}
19700101T163111, {'currentEncoder': 3930, 'motor': 3, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3918, 'hall': '0111'}
19700101T163111, {'currentEncoder': 3909, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3898, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3890, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3881, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3874, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3861, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3855, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3844, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3837, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3826, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3820, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3806, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3800, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3789, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3781, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3769, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3760, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3750, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3744, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3732, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3726, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3713, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3707, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3692, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3687, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3676, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3670, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3656, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3650, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3639, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3631, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3616, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3609, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3598, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3590, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3577, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3569, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3559, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3551, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3541, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3535, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3522, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3516, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3504, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3498, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3485, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3479, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3464, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3457, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3446, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3440, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3425, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3417, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3407, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3401, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3386, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3378, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3369, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3360, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3347, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3339, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3330, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3321, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3310, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3305, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3292, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3286, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3271, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3266, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3253, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3247, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3232, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3227, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3216, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3210, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3193, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3188, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3175, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3169, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3154, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3146, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3136, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3130, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3115, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3107, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3097, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3091, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3076, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3068, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3059, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3050, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3037, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3029, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 3020, 'hall': '1111'}
19700101T163111, {'currentEncoder': 3011, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 2998, 'hall': '1111'}
19700101T163111, {'currentEncoder': 2990, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 2980, 'hall': '1111'}
19700101T163111, {'currentEncoder': 2974, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 2959, 'hall': '1111'}
19700101T163111, {'currentEncoder': 2953, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 2944, 'hall': '1111'}
19700101T163112, {'currentEncoder': 2937, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 2920, 'hall': '1111'}
19700101T163112, {'currentEncoder': 2914, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 2903, 'hall': '1111'}
19700101T163112, {'currentEncoder': 2896, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 2881, 'hall': '1111'}
19700101T163112, {'currentEncoder': 2875, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 2864, 'hall': '1111'}
19700101T163112, {'currentEncoder': 2857, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 2842, 'hall': '1111'}
19700101T163112, {'currentEncoder': 2836, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 2825, 'hall': '1111'}
19700101T163112, {'currentEncoder': 2818, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 2803, 'hall': '1111'}
19700101T163112, {'currentEncoder': 2797, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 2786, 'hall': '1111'}
19700101T163112, {'currentEncoder': 2779, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 2764, 'hall': '1111'}
19700101T163112, {'currentEncoder': 2756, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 2747, 'hall': '1111'}
19700101T163112, {'currentEncoder': 2740, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 2725, 'hall': '1111'}
19700101T163112, {'currentEncoder': 2717, 'motor': 1, 'power': 1, 'position': 2, 'desiredStep': 1325, 'id': 0, 'currentStep': 2708, 'hall': '1111'}
