20160119T103431, {'currentEncoder': 7, 'motor': 3, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 13, 'hall': '0110'}
20160119T103432, {'currentEncoder': 17, 'motor': 3, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 23, 'hall': '1111'}
20160119T103432, {'currentEncoder': 27, 'motor': 3, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 33, 'hall': '1111'}
20160119T103432, {'currentEncoder': 39, 'motor': 3, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 48, 'hall': '1111'}
20160119T103432, {'currentEncoder': 54, 'motor': 3, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 65, 'hall': '1111'}
20160119T103432, {'currentEncoder': 70, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 83, 'hall': '1111'}
20160119T103432, {'currentEncoder': 88, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 103, 'hall': '1111'}
20160119T103432, {'currentEncoder': 108, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 121, 'hall': '1111'}
20160119T103432, {'currentEncoder': 127, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 137, 'hall': '1111'}
20160119T103432, {'currentEncoder': 143, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 153, 'hall': '1111'}
20160119T103432, {'currentEncoder': 159, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 169, 'hall': '1111'}
20160119T103432, {'currentEncoder': 175, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 185, 'hall': '1111'}
20160119T103432, {'currentEncoder': 191, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 200, 'hall': '1111'}
20160119T103432, {'currentEncoder': 207, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 216, 'hall': '1111'}
20160119T103432, {'currentEncoder': 223, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 232, 'hall': '1111'}
20160119T103432, {'currentEncoder': 239, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 248, 'hall': '1111'}
20160119T103432, {'currentEncoder': 255, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 265, 'hall': '1111'}
20160119T103432, {'currentEncoder': 271, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 282, 'hall': '1111'}
20160119T103432, {'currentEncoder': 289, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 300, 'hall': '1111'}
20160119T103432, {'currentEncoder': 303, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 316, 'hall': '1111'}
20160119T103432, {'currentEncoder': 321, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 334, 'hall': '1111'}
20160119T103432, {'currentEncoder': 340, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 352, 'hall': '1111'}
20160119T103432, {'currentEncoder': 358, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 367, 'hall': '1111'}
20160119T103432, {'currentEncoder': 374, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 384, 'hall': '1111'}
20160119T103432, {'currentEncoder': 390, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 400, 'hall': '1111'}
20160119T103432, {'currentEncoder': 406, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 416, 'hall': '1111'}
20160119T103432, {'currentEncoder': 422, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 432, 'hall': '1111'}
20160119T103432, {'currentEncoder': 438, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 448, 'hall': '1111'}
20160119T103432, {'currentEncoder': 456, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 466, 'hall': '1111'}
20160119T103432, {'currentEncoder': 472, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 487, 'hall': '1111'}
20160119T103432, {'currentEncoder': 492, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 505, 'hall': '1111'}
20160119T103432, {'currentEncoder': 510, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 521, 'hall': '1111'}
20160119T103432, {'currentEncoder': 527, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 537, 'hall': '1111'}
20160119T103432, {'currentEncoder': 543, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 553, 'hall': '1111'}
20160119T103432, {'currentEncoder': 559, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 568, 'hall': '1111'}
20160119T103432, {'currentEncoder': 575, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 585, 'hall': '1111'}
20160119T103432, {'currentEncoder': 591, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 601, 'hall': '1111'}
20160119T103432, {'currentEncoder': 607, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 617, 'hall': '1111'}
20160119T103432, {'currentEncoder': 623, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 634, 'hall': '1111'}
20160119T103432, {'currentEncoder': 641, 'motor': 1, 'power': 1, 'position': 0, 'desiredStep': 1325, 'id': 1, 'currentStep': 652, 'hall': '1111'}
